alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
input-tolerance,pending,,1,agents/adk-orchestrator.md,,,
integration-architecture,pending,,0,,,,
integration-testing,pending,,0,,,,
integrity-chain-validation,pending,,2,agents/integrity-validator.md;agents/quality-guardian.md,,,
intelligent-routing,pending,,1,agents/adk-orchestrator.md,,,
internal-memo,pending,,3,agents/internal-memo-specialist.md;commands/internal-memo.md;prompts/content/8-internal-memo.md,,,
internationalization,pending,,3,agents/i18n-specialist.md;commands/add-i18n.md;prompts/development/62-implement-i18n.md,,,
interview-prep,pending,,0,,,,
inventory-management,pending,,0,,,,
invoice-generator,pending,,0,,,,
jarvis-bootstrap,not-in-ledger,,0,,,,
jarvis-os,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
javascript-patterns,pending,,0,,,,
jmlabs-corporate-doc,pending,,0,,,,
katas-adaptive-investigation,dod-complete,P1,0,,,,
katas-builtin-tool-selection,dod-complete,P1,0,,,,
katas-confidence-stratified-sampling,dod-complete,P1,0,,,,
katas-context-dilution-mitigation,dod-complete,P1,0,,,,
katas-critical-self-correction,pending,,0,,,,
katas-custom-commands-skills,pending,,0,,,,
katas-defensive-structured-extraction,pending,,0,,,,
katas-deterministic-agent-loop,pending,,0,,,,
katas-false-positive-criteria,pending,,0,,,,
katas-fewshot-edge-calibration,pending,,0,,,,
katas-headless-code-review,pending,,0,,,,
katas-hierarchical-claude-memory,pending,,0,,,,
katas-hub-and-spoke-isolation,pending,,0,,,,
katas-human-handoff-protocol,pending,,0,,,,
katas-independent-reviewer-multipass,pending,,0,,,,
katas-mcp-server-configuration,pending,,0,,,,
katas-mcp-structured-errors,pending,,0,,,,
katas-message-batch-processing,pending,,0,,,,
katas-multiagent-error-propagation,pending,,0,,,,
katas-multipass-prompt-chaining,pending,,0,,,,
katas-path-conditional-rules,pending,,0,,,,
katas-persistent-scratchpad,dod-complete,P1,0,,,,
katas-plan-mode-exploration,pending,,0,,,,
katas-posttooluse-normalization,dod-complete,P1,0,,,,
katas-prefix-caching,pending,,0,,,,
katas-pretooluse-guardrails,dod-complete,P1,0,,,,
katas-provenance-preservation,dod-complete,P1,0,,,,
katas-session-resume-fork,dod-complete,P1,0,,,,
katas-tool-description-quality,dod-complete,P1,0,,,,
katas-validation-retry-feedback,dod-complete,P1,0,,,,
kit-orchestrator,pending,,0,,,,
knowledge-management,dod-complete,P1,3,agents/knowledge-management-specialist.md;commands/knowledge-management.md;prompts/enterprise/5-knowledge-management.md,,,
kpi-framework,pending,,3,agents/kpi-framework-specialist.md;commands/kpi-framework.md;prompts/analytics/1-kpi-framework.md,,,
lab-session,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
landing-page-builder,pending,,1,agents/landing-page-builder.md,,,
landing-pages,pending,,2,agents/copywriter.md;agents/landing-page-builder.md,,,
lead-generation,pending,,3,agents/lead-generation-specialist.md;commands/lead-generation.md;prompts/business/13-lead-generation.md,,,
lighthouse-ci,pending,,1,agents/quality-guardian.md,,,
linkedin-optimization,pending,,0,,,,
linting-formatting,pending,,1,agents/linter-configurator.md,,,
llm-evaluation,pending,,3,agents/llm-evaluation-specialist.md;commands/llm-evaluation.md;prompts/ai/3-llm-evaluation.md,,,
local-state-preservation,dod-complete,P1,0,,,,
localization-guide,pending,,3,agents/localization-guide-specialist.md;commands/localization-guide.md;prompts/content/15-localization-guide.md,,,
log-management,pending,,3,agents/log-management-specialist.md;commands/log-management.md;prompts/devops/4-log-management.md,,,
market-intelligence,pending,,1,agents/client-prospector.md,,,
marketing-context,pending,,3,agents/marketing-context-specialist.md;commands/marketing-context.md;prompts/business/1-marketing-context.md,,,
maturity-assessment,pending,,0,,,,
mcp-creator,dod-complete,P1,0,,,,
mcp-engineering,dod-complete,P1,0,,,,
meeting-notes,pending,,1,commands/requirements.md,,,
mermaid-diagramming,pending,,3,agents/architecture-designer.md;agents/diagram-specialist.md;agents/flow-mapper.md,,,
message-batch-orchestration,dod-complete,P1,0,,,,
meta-orchestration-updater,pending,,0,,,,
meta-skill-creator,pending,,0,,,,
meta-skill-deployer,pending,,0,,,,
meta-skill-indexer,pending,,0,,,,
meta-skill-reviewer,pending,,0,,,,
meta-skill-searcher,pending,,0,,,,
metrics-instrumentation,pending,,3,agents/metrics-instrumentation-specialist.md;commands/metrics-instrumentation.md;prompts/analytics/16-metrics-instrumentation.md,,,
micro-interactions,pending,,6,agents/animation-specialist.md;agents/micro-interactions-specialist.md;commands/add-animation.md;commands/micro-interactions.md;prompts/development/63-implement-animation.md;prompts/ux/5-micro-interactions.md,,,
microcopy-writing,pending,,3,agents/microcopy-writing-specialist.md;commands/microcopy-writing.md;prompts/content/14-microcopy-writing.md,,,
migration-planning,pending,,1,agents/migration-planner.md,,,
mobile-architecture,pending,,0,,,,
mobile-assessment,pending,,0,,,,
mobile-patterns,pending,,3,agents/mobile-patterns-specialist.md;commands/mobile-patterns.md;prompts/ux/16-mobile-patterns.md,,,
modal-dialog-patterns,pending,,0,,,,
monitoring-alerting,pending,,0,,,,
monitoring-setup,pending,,3,agents/monitoring-setup-specialist.md;commands/monitoring-setup.md;prompts/devops/2-monitoring-setup.md,,,
monthly-audit,not-in-ledger,,0,,,,
motion-design,pending,,3,agents/motion-design-specialist.md;commands/motion-design.md;prompts/ux/10-motion-design.md,,,
multi-model-routing,pending,,3,agents/multi-model-routing-specialist.md;commands/multi-model-routing.md;prompts/ai/12-multi-model-routing.md,,,
naming-and-slugging,pending,,0,,,,
navigation-patterns,pending,,0,,,,
negociacion-oferta,dod-complete,P1,0,,,,
newsletter-design,pending,,3,agents/newsletter-design-specialist.md;commands/newsletter-design.md;prompts/business/11-newsletter-design.md,,,
node-api-builder,pending,,0,,,,
node-development,pending,,1,agents/node-specialist.md,,,
notebook-curator-seleccion,dod-complete,P1,0,,,,
notification-handler,pending,,3,agents/notification-handler-specialist.md;commands/notification-handler.md;prompts/automation/8-notification-handler.md,,,
notification-service,pending,,0,,,,
notification-ux,pending,,3,agents/notification-ux-specialist.md;commands/notification-ux.md;prompts/ux/13-notification-ux.md,,,
oauth-social-login,pending,,0,,,,
observability,pending,,0,,,,
office-workflow-runner,pending,,0,,,,
official-source-verifier,dod-complete,P1,0,,,,
okr-design,pending,,3,agents/okr-design-specialist.md;commands/okr-design.md;prompts/enterprise/15-okr-design.md,,,
onboarding-90-dias,dod-complete,P1,0,,,,
onboarding-playbook,pending,,0,,,,
onboarding-ux,pending,,3,agents/onboarding-ux-specialist.md;commands/onboarding-ux.md;prompts/business/10-onboarding-ux.md,,,
open-claude-security,pending,,0,,,,
open-claw-builder,pending,,0,,,,
openclaw-isolation,pending,,0,,,,
openclaw-personal-deploy,pending,,0,,,,
openclaw-tool-auth,pending,,0,,,,
output-contract-enforcer,dod-complete,P1,0,,,,
output-engineering,pending,,0,,,,
parallel-workflow,pending,,1,agents/pipeline-conductor.md,,,
partnership-strategy,pending,,3,agents/partnership-strategy-specialist.md;commands/partnership-strategy.md;prompts/business/15-partnership-strategy.md,,,
payment-integration,pending,,2,agents/ecommerce-builder.md;agents/payment-specialist.md,,,
pdf-architecture-reviewer,dod-complete,P1,0,,,,
penetration-testing-guide,pending,,0,,,,
performance-architecture,pending,,1,agents/performance-architect.md,,,
performance-engineering,pending,,0,,,,
performance-testing,pending,,2,agents/performance-tester.md;agents/quality-guardian.md,,,
permission-fast-path,pending,,3,agents/permission-fast-path-specialist.md;commands/permission-fast-path.md;prompts/automation/10-permission-fast-path.md,,,
persistent-memory-design,dod-complete,P1,0,,,,
personal-branding,pending,,0,,,,
pipeline-governance,pending,,1,agents/adk-orchestrator.md,,,
pitch-deck,pending,,0,,,,
plan-architecture,pending,,0,,,,
plan-moat-strategy,pending,,0,,,,
plan-mode-workflow,dod-complete,P1,0,,,,
plugin-builder,pending,,0,,,,
plugin-reload,pending,,0,,,,
poc-lab,pending,,0,,,,
podcast-prep,pending,,3,agents/podcast-prep-specialist.md;commands/podcast-prep.md;prompts/content/4-podcast-prep.md,,,
portfolio-sites,pending,,1,agents/portfolio-builder.md,,,
post-tool-use-validator,dod-complete,P1,3,agents/post-tool-use-validator-specialist.md;commands/post-tool-use-validator.md;prompts/automation/2-post-tool-use-validator.md,,,
pre-compact-context,dod-complete,P1,3,agents/pre-compact-context-specialist.md;commands/pre-compact-context.md;prompts/automation/6-pre-compact-context.md,,,
pre-tool-use-guard,dod-complete,P1,3,agents/pre-tool-use-guard-specialist.md;commands/pre-tool-use-guard.md;prompts/automation/1-pre-tool-use-guard.md,,,
presentation-design,pending,,3,agents/presentation-design-specialist.md;commands/presentation-design.md;prompts/content/2-presentation-design.md,,,
press-release,pending,,3,agents/press-release-specialist.md;commands/press-release.md;prompts/content/7-press-release.md,,,
pricing-strategy,pending,,3,agents/pricing-strategy-specialist.md;commands/pricing-strategy.md;prompts/business/9-pricing-strategy.md,,,
print-stylesheet,pending,,0,,,,
pristino-calibration,dod-complete,P1,1,commands/calibrate.md,,,
privacy-compliance,pending,,0,,,,
proceso-seleccion-orchestrator,dod-complete,P1,0,,,,
product-roadmapping,pending,,1,agents/product-strategist.md,,,
product-strategy,pending,,0,,,,
progress-tracker,pending,,0,,,,
project-charter,pending,,0,,,,
project-create,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
project-program-management,pending,,0,,,,
prompt-chaining-design,dod-complete,P1,0,,,,
prompt-creator,dod-complete,P1,0,,,,
prompt-engineering,dod-complete,P1,3,agents/prompt-engineering-specialist.md;commands/prompt-engineering.md;prompts/ai/1-prompt-engineering.md,,,
prompt-forge,dod-complete,P1,0,,,,
prompting-and-meta-prompting,dod-complete,P1,0,,,,
proposal-writing,pending,,3,agents/proposal-writing-specialist.md;commands/proposal-writing.md;prompts/content/9-proposal-writing.md,,,
prototyping,pending,,3,agents/prototyping-specialist.md;commands/prototyping.md;prompts/ux/2-prototyping.md,,,
provenance-engineering,dod-complete,P1,0,,,,
push-notifications,pending,,1,agents/push-notification-specialist.md,,,
pwa-architecture,pending,,2,agents/mobile-responsiveness-tester.md;agents/pwa-architect.md,,,
qbr-quarterly,not-in-ledger,,0,,,,
quality-engineering,dod-complete,P1,0,,,,
quality-gatekeeper,dod-complete,P1,0,,,,
quality-metrics,dod-complete,P1,0,,,,
rag-patterns,pending,,3,agents/rag-patterns-specialist.md;commands/rag-patterns.md;prompts/ai/2-rag-patterns.md,,,
rate-limiting,pending,,3,agents/rate-limiting-specialist.md;commands/rate-limiting.md;prompts/devops/13-rate-limiting.md,,,
rbac-patterns,pending,,3,agents/rbac-patterns-specialist.md;commands/rbac-patterns.md;prompts/enterprise/3-rbac-patterns.md,,,
react-component-library,pending,,0,,,,
react-development,pending,,1,agents/react-specialist.md,,,
real-time-analytics,pending,,3,agents/real-time-analytics-specialist.md;commands/real-time-analytics.md;prompts/analytics/12-real-time-analytics.md,,,
realtime-architecture,pending,,1,agents/realtime-designer.md,,,
realtime-database,pending,,0,,,,
recaptcha-integration,pending,,1,agents/google-apis-specialist.md,,,
red-y-referencias,dod-complete,P1,0,,,,
release-strategy,pending,,0,,,,
rendering-engine,pending,,0,,,,
repo-sync-auditor,dod-complete,P1,0,,,,
reporting-templates,pending,,3,agents/reporting-templates-specialist.md;commands/reporting-templates.md;prompts/analytics/6-reporting-templates.md,,,
repository-organization,dod-complete,P1,0,,,,
requirements-engineering,pending,,2,agents/business-analyst.md;agents/requirements-analyst.md,,,
responsive-design,pending,,3,agents/css-architect.md;agents/mobile-responsiveness-tester.md;agents/responsive-designer.md,,,
responsive-design-system,pending,,0,,,,
rest-api-development,pending,,1,agents/rest-api-builder.md,,,
retrospective-facilitation,pending,,3,agents/retrospective-facilitation-specialist.md;commands/retrospective-facilitation.md;prompts/enterprise/14-retrospective-facilitation.md,,,
revisor-veracidad,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
risk-assessment,pending,,1,agents/risk-analyst.md,,,
risk-controlling-dynamics,pending,,0,,,,
roadmap-poc,pending,,0,,,,
role-based-access,pending,,0,,,,
rollback-strategy,pending,,3,agents/rollback-strategy-specialist.md;commands/rollback-strategy.md;prompts/devops/6-rollback-strategy.md,,,
rule-forge,pending,,0,,,,
runtime-routing,dod-complete,P1,1,commands/explain-devkit.md,,,
safe-scripting-and-bash,dod-complete,P1,0,,,,
sales-collateral,pending,,3,agents/sales-collateral-specialist.md;commands/sales-collateral.md;prompts/business/4-sales-collateral.md,,,
sales-tracker,pending,,0,,,,
scaffold-angular-app,pending,,0,,,,
scaffold-html-css,pending,,0,,,,
scaffold-react-app,pending,,0,,,,
scenario-analysis,pending,,2,agents/scenario-evaluator.md;agents/socratic-debater.md,,,
scheduled-functions,pending,,1,agents/cron-job-specialist.md,,,
schema-evolution,pending,,3,agents/schema-evolution-specialist.md;commands/schema-evolution.md;prompts/analytics/4-schema-evolution.md,,,
scope-guard,pending,,0,,,,
scroll-interaction,pending,,0,,,,
search-implementation,pending,,0,,,,
search-ux,pending,,3,agents/search-ux-specialist.md;commands/search-ux.md;prompts/ux/14-search-ux.md,,,
secrets-management,pending,,0,,,,
secrets-sanitization,dod-complete,P1,0,,,,
sector-intelligence,pending,,2,agents/competitive-analyst.md;agents/industry-expert.md,,,
security-architecture,pending,,1,agents/security-architect.md,,,
security-testing,pending,,2,agents/quality-guardian.md;agents/security-scanner.md,,,
self-correction-loops,dod-complete,P1,0,,,,
seo-architecture,pending,,4,agents/blog-builder.md;agents/landing-page-builder.md;agents/seo-architect.md;agents/seo-auditor.md,,,
seo-content,pending,,1,commands/seo-content.md,,,
seo-technical,pending,,0,,,,
server-middleware,pending,,0,,,,
serverless-patterns,pending,,1,agents/cloud-functions-dev.md,,,
session-end-cleanup,dod-complete,P1,3,agents/session-end-cleanup-specialist.md;commands/session-end-cleanup.md;prompts/automation/5-session-end-cleanup.md,,,
session-lifecycle-management,dod-complete,P1,0,,,,
session-manager,dod-complete,P1,1,agents/session-manager.md,,,
session-protocol,dod-complete,P1,1,agents/adk-orchestrator.md,,,
session-start-bootstrap,dod-complete,P1,3,agents/session-start-bootstrap-specialist.md;commands/session-start-bootstrap.md;prompts/automation/4-session-start-bootstrap.md,,,
simulador-entrevista,dod-complete,P1,0,,,,
skill-forge,pending,,0,,,,
skill-search,pending,,1,agents/skill-router.md,,,
skill-spec-creator,pending,,0,,,,
sla-definition,pending,,3,agents/sla-definition-specialist.md;commands/sla-definition.md;prompts/enterprise/7-sla-definition.md,,,
social-media-strategy,pending,,0,,,,
social-proof,pending,,3,agents/social-proof-specialist.md;commands/social-proof.md;prompts/business/8-social-proof.md,,,
socratic-debate,pending,,2,agents/adk-orchestrator.md;agents/socratic-debater.md,,,
sofka-bpmn-process-analysis,pending,,0,,,,
sofka-regional-finance,pending,,0,,,,
sofka-sap-implementation,pending,,0,,,,
software-architecture,pending,,0,,,,
software-viability,pending,,0,,,,
solution-roadmap,pending,,0,,,,
solutions-architecture,pending,,0,,,,
spa-routing,pending,,0,,,,
spec-agent-command,pending,,0,,,,
spec-skill-moat,pending,,0,,,,
sprint-report,pending,,0,,,,
ssh-deployment,pending,,0,,,,
ssl-management,pending,,3,agents/ssl-management-specialist.md;commands/ssl-management.md;prompts/devops/10-ssl-management.md,,,
stakeholder-mapping,pending,,1,agents/stakeholder-mapper.md,,,
state-management,pending,,1,agents/state-designer.md,,,
state-management-design,pending,,0,,,,
station-create,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
step-creator,pending,,0,,,,
stop-validator,pending,,4,agents/stop-validator-specialist.md;commands/stop-validator.md;hooks/hooks.json;prompts/automation/7-stop-validator.md,,,
storytelling,pending,,3,agents/presentation-design-specialist.md;commands/presentation-design.md;prompts/content/2-presentation-design.md,,,
structured-output,pending,,3,agents/structured-output-specialist.md;commands/structured-output.md;prompts/ai/14-structured-output.md,,,
structured-output-design,dod-complete,P1,0,,,,
subagent-monitor,dod-complete,P1,3,agents/subagent-monitor-specialist.md;commands/subagent-monitor.md;prompts/automation/9-subagent-monitor.md,,,
subagent-orchestration,dod-complete,P1,0,,,,
surgeon-skill,pending,,0,,,,
survey-design,pending,,3,agents/survey-design-specialist.md;commands/survey-design.md;prompts/analytics/13-survey-design.md,,,
swot-analysis,pending,,0,,,,
system-architecture,pending,,2,agents/architecture-designer.md;agents/solutions-architect.md,,,
system-design,pending,,0,,,,
table-ux,pending,,3,agents/table-ux-specialist.md;commands/table-ux.md;prompts/ux/15-table-ux.md,,,
task-automation,pending,,3,agents/task-automation-specialist.md;commands/task-automation.md;prompts/automation/14-task-automation.md,,,
task-engine,dod-complete,P1,0,,,,
task-subfolder,not-in-ledger,,1,agents/jarvis-orchestrator.md,,,
tasklog-management,dod-complete,P1,0,,,,
team-topology,pending,,3,agents/team-topology-specialist.md;commands/team-topology.md;prompts/enterprise/12-team-topology.md,,,
technical-documentation,pending,,0,,,,
technical-feasibility,pending,,0,,,,
technical-writing,pending,,0,,,,
technical-writing-patterns,pending,,3,agents/technical-writing-patterns-specialist.md;commands/technical-writing-patterns.md;prompts/content/1-technical-writing-patterns.md,,,
test-data-factory,pending,,0,,,,
test-strategy,pending,,3,agents/bdd-strategist.md;agents/quality-engineer.md;agents/quality-guardian.md,,,
testimonial-collector,pending,,0,,,,
testing-strategy,pending,,0,,,,
tool-use-design,dod-complete,P1,0,,,,
trade-off-analysis,pending,,3,agents/feasibility-validator.md;agents/scenario-evaluator.md;agents/socratic-debater.md,,,
training-material,pending,,3,agents/training-material-specialist.md;commands/training-material.md;prompts/content/10-training-material.md,,,
triad-composition,dod-complete,P1,1,agents/adk-orchestrator.md,,,
trigger-skill,pending,,0,,,,
typescript-patterns,pending,,3,agents/angular-specialist.md;agents/react-specialist.md;agents/typescript-specialist.md,,,
typography-advanced,pending,,3,agents/typography-advanced-specialist.md;commands/typography-advanced.md;prompts/ux/8-typography-advanced.md,,,
ui-kit-builder,pending,,0,,,,
unit-testing,pending,,2,agents/quality-engineer.md;agents/unit-test-writer.md,,,
user-prompt-filter,dod-complete,P1,4,agents/user-prompt-filter-specialist.md;commands/user-prompt-filter.md;hooks/hooks.json;prompts/automation/3-user-prompt-filter.md,,,
user-representative,dod-complete,P1,0,,,,
user-research,pending,,1,agents/user-researcher.md,,,
user-story-writer,pending,,0,,,,
user-testing,pending,,3,agents/user-testing-specialist.md;commands/user-testing.md;prompts/ux/1-user-testing.md,,,
ux-writing,dod-complete,P1,0,,,,
validar-liquidacion-co,dod-complete,P1,0,,,,
validate-components,dod-complete,P1,0,,,,
validate-cross-refs,pending,,0,,,,
validate-hooks,pending,,0,,,,
validate-manifest,pending,,0,,,,
validate-structure,dod-complete,P1,0,,,,
validation-retry-design,dod-complete,P1,0,,,,
value-proposition,pending,,0,,,,
vanilla-javascript,pending,,2,agents/frontend-craftsman.md;agents/vanilla-js-specialist.md,,,
vendor-evaluation,pending,,3,agents/vendor-evaluation-specialist.md;commands/vendor-evaluation.md;prompts/enterprise/10-vendor-evaluation.md,,,
video-script,pending,,3,agents/video-script-specialist.md;commands/video-script.md;prompts/content/3-video-script.md,,,
visual-regression,pending,,0,,,,
visual-regression-testing,pending,,0,,,,
voice-interface,pending,,3,agents/voice-interface-specialist.md;commands/voice-interface.md;prompts/ai/16-voice-interface.md,,,
wbr-weekly-review,not-in-ledger,,0,,,,
web-components,pending,,1,agents/web-component-builder.md,,,
web-performance,pending,,0,,,,
web-security-implementation,pending,,0,,,,
webhook-handler,pending,,0,,,,
webhook-handling,pending,,1,agents/webhook-specialist.md,,,
weekly-retro,not-in-ledger,,0,,,,
whitepaper-creation,pending,,3,agents/whitepaper-creation-specialist.md;commands/whitepaper-creation.md;prompts/content/6-whitepaper-creation.md,,,
workflow-creator,dod-complete,P1,0,,,,
workflow-forge,dod-complete,P1,0,,,,
workflow-orchestration,dod-complete,P1,3,agents/workflow-orchestration-specialist.md;commands/workflow-orchestration.md;prompts/automation/15-workflow-orchestration.md,,,
workshop-design,pending,,1,agents/workshop-facilitator.md,,,
workshop-facilitator,pending,,1,agents/workshop-facilitator.md,,,
workshop-proposal,pending,,0,,,,
workspace-governance,dod-complete,P1,0,,,,
workspace-setup,dod-complete,P1,1,commands/setup-workspace.md,,,
x-ray-skill,dod-complete,P1,0,,,,
xlsx-template-creator,dod-complete,P1,0,,,,
